Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_Disc_D4.3mm_W1.9mm_P5.00mm,3,100nF,
C4,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"D1, D10, D11, D12, D13, D14, D15, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,29,BAT42,
J1,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_01x08_Pin,
JKBD1,IDC-Header_2x10_P2.54mm_Horizontal,1,Conn_KBD,
K1,SW_Cherry_MX_1.00u_PCB,1,LEFT,
K10,SW_Cherry_MX_1.00u_PCB,1,.,
K101,SW_Cherry_MX_2.00u_PCB,1,CS,
K103,SW_Cherry_MX_6.25u_PCB,1,SPACE,
K11,SW_Cherry_MX_1.00u_PCB,1,:,
K12,SW_Cherry_MX_1.00u_PCB,1,EXTEND MODE,
K2,SW_Cherry_MX_1.00u_PCB,1,RIGHT,
K200,SW_Cherry_MX_1.00u_PCB,1,CTRL,
K201,SW_Cherry_MX_2.00u_PCB,1,SS,
K203,SW_Cherry_MX_1.00u_PCB,1,Z,
K204,SW_Cherry_MX_1.00u_PCB,1,X,
K205,SW_Cherry_MX_1.00u_PCB,1,C,
K206,SW_Cherry_MX_1.00u_PCB,1,V,
K207,SW_Cherry_MX_1.00u_PCB,1,B,
K208,SW_Cherry_MX_1.00u_PCB,1,N,
K209,SW_Cherry_MX_1.00u_PCB,1,M,
K211,SW_Cherry_MX_1.00u_PCB,1,F4,
K3,SW_Cherry_MX_1.25u_PCB,1,DOWN,
K300,SW_Cherry_MX_1.00u_PCB,1,NO SCR,
K302,SW_Cherry_MX_1.00u_PCB,1,A,
K303,SW_Cherry_MX_1.00u_PCB,1,S,
K304,SW_Cherry_MX_1.00u_PCB,1,D,
K305,SW_Cherry_MX_1.00u_PCB,1,F,
K306,SW_Cherry_MX_1.00u_PCB,1,G,
K307,SW_Cherry_MX_1.00u_PCB,1,H,
K308,SW_Cherry_MX_1.00u_PCB,1,J,
K309,SW_Cherry_MX_1.00u_PCB,1,K,
K310,SW_Cherry_MX_1.00u_PCB,1,L,
K311,SW_Cherry_MX_1.75u_PCB,1,ENTER,
K313,SW_Cherry_MX_1.00u_PCB,1,F3,
K4,SW_Cherry_MX_1.25u_PCB,1,UP,
K400,SW_Cherry_MX_1.00u_PCB,1,LF,
K402,SW_Cherry_MX_1.00u_PCB,1,Q,
K403,SW_Cherry_MX_1.00u_PCB,1,W,
K404,SW_Cherry_MX_1.00u_PCB,1,E,
K405,SW_Cherry_MX_1.00u_PCB,1,R,
K406,SW_Cherry_MX_1.00u_PCB,1,T,
K407,SW_Cherry_MX_1.00u_PCB,1,Y,
K408,SW_Cherry_MX_1.00u_PCB,1,U,
K409,SW_Cherry_MX_1.00u_PCB,1,I,
K410,SW_Cherry_MX_1.00u_PCB,1,O,
K411,SW_Cherry_MX_1.00u_PCB,1,P,
K412,SW_Cherry_MX_1.00u_PCB,1,F2,
K5,SW_Cherry_MX_1.25u_PCB,1,EDIT,
K500,SW_Cherry_MX_1.00u_PCB,1,ESC,
K502,SW_Cherry_MX_1.00u_PCB,1,1,
K503,SW_Cherry_MX_1.00u_PCB,1,2,
K504,SW_Cherry_MX_1.00u_PCB,1,3,
K505,SW_Cherry_MX_1.00u_PCB,1,4,
K506,SW_Cherry_MX_1.00u_PCB,1,5,
K507,SW_Cherry_MX_1.00u_PCB,1,6,
K508,SW_Cherry_MX_1.00u_PCB,1,7,
K509,SW_Cherry_MX_1.00u_PCB,1,8,
K510,SW_Cherry_MX_1.00u_PCB,1,9,
K511,SW_Cherry_MX_1.00u_PCB,1,0,
K513,SW_Cherry_MX_1.00u_PCB,1,F1,
K6,SW_Cherry_MX_1.25u_PCB,1,CAPS LOCK,
K7,SW_Cherry_MX_1.25u_PCB,1,DELETE,
K9,SW_Cherry_MX_1.25u_PCB,1,",",
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,12,100k,
"U1, U2, U3",DIP-14_W7.62mm,3,CD4066BE,
